id,created_at,text
1176128226206392321,2019-09-23 13:36:35,RT @babadookspinoza: Socialism means you won’t die from not being able to afford insulin but you can only get one type of insulin instead o…
1176125100095156226,2019-09-23 13:24:09,"https://t.co/bhpZ8OHosh
baiana cê me bagunçou"
1176121514388873216,2019-09-23 13:09:54,"permita que eu fale
não as minhas cicatrizes"
1176120270135971840,2019-09-23 13:04:58,"https://t.co/olk5IWFZqD

ano passado eu morri
mas esse ano eu não morro"
1175753759198273538,2019-09-22 12:48:35,RT @LwithP: acordando de manhã e tentando lembrar tudo o que aconteceu no rolê https://t.co/mKLlSz3OFr
1175753699215446022,2019-09-22 12:48:20,só que ao invés do vizinho foi o sol na cara https://t.co/tpFbeFTzwB
1175750027395915782,2019-09-22 12:33:45,RT @_TheBestDogs: Dogs are so pure. https://t.co/dOXBDVarJg
1175749549002035200,2019-09-22 12:31:51,@lavraselisa um homem derrotado?
1175720258914664448,2019-09-22 10:35:28,Mano ❤️ https://t.co/k9XqN9XmU8
1175718493943209984,2019-09-22 10:28:27,E acordei pensando nos afazeres domésticos de hoje
1175718014131539971,2019-09-22 10:26:33,acordei com um solzão na minha cara
1175413194401243145,2019-09-21 14:15:18,RT @silvajc: “Top 5 Free Resources for Learning Data Science” por Rebecca Vickery https://t.co/0fpbKMXdzu
1175364403035869185,2019-09-21 11:01:25,@elmz_tr num tem despertador mais eficiente do que o diabo
1175341605722763265,2019-09-21 09:30:50,"meu despertador hoje foi o meu ventilador 
DO NADA cair no chão"
1175184113789296642,2019-09-20 23:05:01,@sahmurai_ @_HiagoM leva a tua
1175143549488259075,2019-09-20 20:23:49,"RT @emicida: Quem cuida de arrumar nossos vocais por aqui é esse canário do reino aí ó, menino abençoado! https://t.co/lQbInhqaDl"
1175020031266234369,2019-09-20 12:13:00,@elmz_tr sdds de elmo mandando msg no grupo as 14 da tarde dizendo que ja tava no IFMA
1174987356467859456,2019-09-20 10:03:10,@lavraselisa Coitado do rapaz
